Quantity,Unit,Product,Description
1,Pack of 250,90945A716,"18-8 Stainless Steel Mil. Spec. Washer Passivated, Number 6 Screw Size, NAS 620-C6"
1,Pack of 50,92395A112,"Brass Screw-to-Expand Inserts for Plastic, 4-40 Thread Size, 0.188"" Installed Length"
1,Pack of 50,92395A113,"Brass Screw-to-Expand Inserts for Plastic, 6-32 Thread Size, 1/4"" Installed Length"
1,Pack of 25,92395A224,"Brass Screw-To-Expand Inserts For Plastic, 10-32 Thread Size, 1/4"" Installed Length "
1,Pack of 500,90945A711,"18-8 Stainless Steel Mil. Spec. Washer Passivated, Number 4 Screw Size, NAS 620-C4"
1,Pack of 25,91065A640,Retainers for 6-32 Thread Size Captive Panel Screws 
12,Each,95966A237,"Socket Head Captive Panel Screw 6-32 Thread Size, 3/4"" Long"
1,Pack of 100,91771A114,"18-8 Stainless Steel Phillips Flat Head Screw Passivated, 4-40 Thread Size, 7/8"" Long"
1,Pack of 50,92196A277,"18-8 Stainless Steel Socket Head Screw 10-32 Thread Size, 1-1/2"" Long, Partially Threaded"
1,Pack of 100,92196A151,"18-8 Stainless Steel Socket Head Screw 6-32 Thread Size, 3/4"" Long"
1,Pack of 100,92196A108,"18-8 Stainless Steel Socket Head Screw 4-40 Thread Size, 3/8"" Long"
1,Pack of 100,92196A148,"18-8 Stainless Steel Socket Head Screw 6-32 Thread Size, 1/2"" Long"
